JT,IF,ISSN
LANCET GLOB HEALTH,26.763,2214-109X
ANNU REV PLANT BIOL,26.379,1543-5008
CLIN MICROBIOL REV,26.132,0893-8512
J EXTRACELL VESICLES,25.841,****-****
NAT BIOMED ENG,25.671,2157-846X
CELL RES,25.617,1001-0602
NAT IMMUNOL,25.606,1529-2908
PHYS REP,25.6,0370-1573
PHARMACOL REV,25.468,0031-6997
INFOMAT,25.405,****-****
ANN INTERN MED,25.391,0003-4819
ADV PHYS,25.375,0001-8732
ASTRON ASTROPHYS REV,25.357,0935-4956
NAT CLIM CHANGE,25.29,1758-678X
IEEE COMMUN SURV TUT,25.249,****-****
WIRES COMPUT MOL SCI,25.113,1759-0876
J HEPATOL,25.083,0168-8278
LANCET INFECT DIS,25.071,1473-3099
NAT NEUROSCI,24.884,1097-6256
CELL STEM CELL,24.633,1934-5909
LANCET DIGIT HEALTH,24.519,****-****
NAT CHEM,24.427,1755-4330
ANNU REV PSYCHOL,24.137,0066-4308
J AM COLL CARDIOL,24.094,0735-1097
TRENDS CHEM,24.081,****-****
SCI ROBOT,23.748,2470-9476
ANNU REV BIOCHEM,23.643,0066-4154
ANNU REV PATHOL-MECH,23.472,1553-4006
ACS ENERGY LETT,23.101,2380-8195
GUT,23.059,0017-5749
CHEM-US,22.804,2451-9294
GASTROENTEROLOGY,22.682,0016-5085
ACCOUNTS CHEM RES,22.384,0001-4842
COORDIN CHEM REV,22.315,0010-8545
BLOOD,22.113,0006-4971
REV GEOPHYS,22,8755-1209
ANNU REV PUBL HEALTH,21.981,0163-7525
JAMA INTERN MED,21.873,2168-6106
LANCET PUBLIC HEALTH,21.648,2468-2667
JAMA PSYCHIAT,21.596,2168-622X
ALZHEIMERS DEMENT,21.566,1552-5260
AM J RESP CRIT CARE,21.405,1073-449X
PROG RETIN EYE RES,21.198,1350-9462
CELL HOST MICROBE,21.023,1931-3128
TRENDS CELL BIOL,20.808,0962-8924
NANO TODAY,20.722,1748-0132
NAT REV RHEUMATOL,20.543,1759-4790
FUNGAL DIVERS,20.372,1560-2745
TRENDS COGN SCI,20.229,1364-6613
CATAL REV,20.217,0161-4940
ADV OPT PHOTONICS,20.107,1943-8206
EUR UROL,20.096,0302-2838
NAT PHYS,20.034,1745-2473
ENDOCR REV,19.871,0163-769X
ANNU REV ENTOMOL,19.686,0066-4170
INT MATER REV,19.559,0950-6608
TRENDS BIOTECHNOL,19.536,0167-7799
APPL CATAL B-ENVIRON,19.503,0926-3373
NAT SUSTAIN,19.346,2398-9629
ANNU REV PHYSIOL,19.318,0066-4278
LANCET PLANET HEALTH,19.173,2542-5196
APPL PHYS REV,19.162,1931-9401
DIABETES CARE,19.112,0149-5992
ANN RHEUM DIS,19.103,0003-4967
LANCET HAEMATOL,18.959,2352-3026
ADV FUNCT MATER,18.808,1616-301X
ANNU REV CLIN PSYCHO,18.561,1548-5943
ANNU REV FLUID MECH,18.511,0066-4189
DRUG RESIST UPDATE,18.5,1368-7646
LANCET GASTROENTEROL,18.486,****-****
TRENDS PLANT SCI,18.313,1360-1385
JAMA NEUROL,18.302,2168-6149
SIGNAL TRANSDUCT TAR,18.187,2095-9907
AM J PSYCHIAT,18.112,0002-953X
MOL CELL,17.97,1097-2765
SCI TRANSL MED,17.956,1946-6234
NANO ENERGY,17.881,2211-2855
ENERGY STORAGE MATER,17.789,2405-8297
LIGHT-SCI APPL,17.782,2047-7538
NAT MICROBIOL,17.745,2058-5276
PSYCHOL BULL,17.737,0033-2909
SCI IMMUNOL,17.727,2470-9468
TRENDS ECOL EVOL,17.712,0169-5347
PSYCHOTHER PSYCHOSOM,17.659,0033-3190
MMWR-MORBID MORTAL W,17.586,0149-2195
INTENS CARE MED,17.44,0342-4642
HEPATOLOGY,17.425,0270-9139
LIVING REV SOL PHYS,17.417,2367-3648
J HEMATOL ONCOL,17.388,****-****
CIRC RES,17.367,0009-7330
NATL SCI REV,17.275,2095-5138
REP PROG PHYS,17.264,0034-4885
NEURON,17.173,0896-6273
BASIC RES CARDIOL,17.165,0300-8428
ACTA NEUROPATHOL,17.088,0001-6322
TRENDS MICROBIOL,17.079,0966-842X
NUCLEIC ACIDS RES,16.971,0305-1048
NAT GEOSCI,16.908,1752-0894
ANNU REV GENET,16.83,0066-4197
ADV SCI,16.806,****-****
TRENDS IMMUNOL,16.687,1471-4906
EUR RESPIR J,16.671,0903-1936
NANO-MICRO LETT,16.419,2311-6706
FEMS MICROBIOL REV,16.408,0168-6445
IEEE T PATTERN ANAL,16.389,0162-8828
ANNU REV MATER RES,16.286,1531-7331
PROG PART NUCL PHYS,16.281,0146-6410
MOL BIOL EVOL,16.24,0737-4038
PROG LIPID RES,16.195,0163-7827
JAMA PEDIATR,16.193,2168-6203
ANNU REV CONDEN MA P,16.109,1947-5454
STUD MYCOL,16.097,0166-0616
AUTOPHAGY,16.016,1554-8627
MOL PSYCHIATR,15.992,1359-4184
ACS NANO,15.881,1936-0851
CELL DEATH DIFFER,15.828,1350-9047
NAT PLANTS,15.793,2055-026X
PHYS REV X,15.762,2160-3308
SEMIN CANCER BIOL,15.707,1044-579X
SYST BIOL,15.683,1063-5157
HUM REPROD UPDATE,15.61,1355-4786
J THORAC ONCOL,15.609,1556-0864
MATTER-US,15.589,2590-2393
EUR J HEART FAIL,15.534,1388-9842
NAT MACH INTELL,15.508,****-****
ANNU REV MICROBIOL,15.5,0066-4227
ADV DRUG DELIVER REV,15.47,0169-409X
NAT ECOL EVOL,15.46,2397-334X
J AM CHEM SOC,15.419,0002-7863
NAT STRUCT MOL BIOL,15.369,1545-9993
ANGEW CHEM INT EDIT,15.336,1433-7851
ENERGY ENVIRON MATER,15.122,****-****
NAT CHEM BIOL,15.04,1552-4450
RENEW SUST ENERG REV,14.982,1364-0321
NAT COMMUN,14.919,2041-1723
PROTEIN CELL,14.87,1674-800X
TRENDS PHARMACOL SCI,14.819,0165-6147
J CLIN INVEST,14.808,0021-9738
JACC-CARDIOVASC IMAG,14.805,1936-878X
JAMA SURG,14.766,2168-6254
JAMA CARDIOL,14.676,2380-6583
MICROBIOME,14.65,2049-2618
BIOACT MATER,14.593,****-****
ACS CENTRAL SCI,14.553,2374-7943
NAT ASTRON,14.437,2397-3366
NAT REV UROL,14.432,1759-4812
J EXP MED,14.307,0022-1007
MOL ASPECTS MED,14.235,0098-2997
BIOTECHNOL ADV,14.227,0734-9750
TRENDS CANCER,14.226,2405-8025
ANNU REV NUCL PART S,14.219,0163-8998
MOL NEURODEGENER,14.195,****-****
SMALL METHODS,14.188,2366-9608
SCI ADV,14.136,2375-2548
ANNU REV ECOL EVOL S,13.915,1543-592X
ANNU REV MAR SCI,13.85,1941-1405
TRENDS NEUROSCI,13.837,0166-2236
ANNU REV CELL DEV BI,13.827,1081-0706
ANNU REV PHARMACOL,13.82,0362-1642
TRENDS BIOCHEM SCI,13.807,0968-0004
BRIT J SPORT MED,13.8,0306-3674
J IMMUNOTHER CANCER,13.751,****-****
ANNU REV MED,13.739,0066-4219
NAT HUM BEHAV,13.663,2397-3374
ANNU REV FOOD SCI T,13.635,1941-1413
GENOME BIOL,13.583,1474-760X
BONE RES,13.567,2095-4700
NAT METAB,13.511,****-****
JNCI-J NATL CANCER I,13.506,0027-8874
BRAIN,13.501,0006-8950
NAT PROTOC,13.491,1754-2189
J KING SAUD UNIV-COM,13.473,1319-1578
IEEE T SYST MAN CY-S,13.451,2168-2216
NAT PROD REP,13.423,0265-0568
BIOL PSYCHIAT,13.382,0006-3223
POLYM REV,13.282,1558-3724
SMALL,13.281,1613-6810
CHEM ENG J,13.273,1385-8947
MATER HORIZ,13.266,2051-6347
MOL PLANT,13.164,1674-2052
ALLERGY,13.146,0105-4538
LASER PHOTONICS REV,13.138,1863-8880
ACS CATAL,13.084,2155-5435
ANNU REV PHYTOPATHOL,13.078,0066-4286
ADV NANO RES,13.052,2287-237X
J PINEAL RES,13.007,0742-3098
IMMUNOL REV,12.988,0105-2896
ADV COLLOID INTERFAC,12.984,0001-8686
ANNU REV BIOPHYS,12.981,1936-122X
INFORM FUSION,12.975,1566-2535
ANN SURG,12.969,0003-4932
MED RES REV,12.944,0198-6325
J PHOTOCH PHOTOBIO C,12.927,1389-5567
J CACHEXIA SARCOPENI,12.91,2190-5991
BIOL REV,12.82,1464-7931
COMPR REV FOOD SCI F,12.811,1541-4337
ANNU REV EARTH PL SC,12.81,0084-6597
LANCET HIV,12.767,2352-3018
NPJ FLEX ELECTRON,12.74,****-****
J MATER CHEM A,12.732,2050-7488
ANNU REV PHYS CHEM,12.703,0066-426X
CANCER RES,12.701,0008-5472
LAB ANIMAL,12.625,0093-7355
BEHAV BRAIN SCI,12.579,0140-525X
TRENDS FOOD SCI TECH,12.563,0924-2244
CRIT REV ENV SCI TEC,12.561,1064-3389
IEEE SIGNAL PROC MAG,12.551,1053-5888
CLIN CANCER RES,12.531,1078-0432
BIOMATERIALS,12.479,0142-9612
ANNU REV NEUROSCI,12.449,0147-006X
EARTH-SCI REV,12.413,0012-8252
PHARMACOL THERAPEUT,12.31,0163-7258
NEURO-ONCOLOGY,12.3,1522-8517
TRAC-TREND ANAL CHEM,12.296,0165-9936
DEV CELL,12.27,1534-5807
SURF SCI REP,12.267,0167-5729
PROG QUANT ELECTRON,12.25,0079-6727
NPJ COMPUT MATER,12.241,****-****
ADV CARBOHYD CHEM BI,12.2,0065-2318
EMBO MOL MED,12.137,1757-4676
CANCER TREAT REV,12.111,0305-7372
OPHTHALMOLOGY,12.079,0161-6420
JACC-HEART FAIL,12.035,2213-1779
IEEE T FUZZY SYST,12.029,1063-6706
TRENDS ENDOCRIN MET,12.015,1043-2760
IEEE WIREL COMMUN,11.979,1536-1284
TRENDS MOL MED,11.951,1471-4914
J NATL COMPR CANC NE,11.908,1540-1405
ANNU REV NUTR,11.848,0199-9885
REDOX BIOL,11.799,2213-2317
SCI BULL,11.78,2095-9273
COMPUT-AIDED CIV INF,11.775,1093-9687
LIVER CANCER,11.74,2235-1795
PROG NEUROBIOL,11.685,0301-0082
NPJ DIGIT MED,11.653,2398-6352
TRENDS GENET,11.639,0168-9525
BRIEF BIOINFORM,11.622,1467-5463
SLEEP MED REV,11.609,1087-0792
EMBO J,11.598,0261-4189
MATRIX BIOL,11.583,0945-053X
THERANOSTICS,11.556,1838-7640
IEEE T EVOLUT COMPUT,11.554,1089-778X
CELL MOL IMMUNOL,11.53,1672-7681
LEUKEMIA,11.528,0887-6924
J AM ACAD DERMATOL,11.527,0190-9622
CLIN TRANSL MED,11.492,2001-1326
MOL THER,11.454,1525-0016
IEEE T CYBERNETICS,11.448,2168-2267
MOL SYST BIOL,11.429,1744-4292
EXPOS HEALTH,11.422,2451-9766
ACTA PHARM SIN B,11.413,2211-3835
CLIN GASTROENTEROL H,11.382,1542-3565
GENE DEV,11.361,0890-9369
IEEE COMPUT INTELL M,11.356,1556-603X
CURR OPIN SOLID ST M,11.354,1359-0286
EARTH SYST SCI DATA,11.333,1866-3508
LANCET CHILD ADOLESC,11.288,2352-4642
PLANT CELL,11.277,1040-4651
WATER RES,11.236,0043-1354
AM J BIOETHICS,11.229,1526-5161
P NATL ACAD SCI USA,11.205,0027-8424
JACC-CARDIOVASC INTE,11.195,1936-8798
NANO LETT,11.189,1530-6984
CRIT REV FOOD SCI,11.176,1040-8398
J EXP CLIN CANC RES,11.161,****-****
CANCER IMMUNOL RES,11.151,2326-6066
SPORTS MED,11.136,0112-1642
SEMIN IMMUNOL,11.13,1044-5323
FRONT ECOL ENVIRON,11.123,1540-9295
IEEE CONTR SYST MAG,11.119,1066-033X
GENOME MED,11.117,1756-994X
ANNU REV ENV RESOUR,11.108,1543-5938
NPJ 2D MATER APPL,11.106,****-****
RADIOLOGY,11.105,0033-8419
OPTICA,11.104,2334-2536
ACTA NUMER,11.091,0962-4929
PLOS MED,11.069,1549-1277
ANNU REV CHEM BIOMOL,11.059,1947-5438
MICROBIOL MOL BIOL R,11.056,1092-2172
PERSOONIA,11.051,0031-5850
BLOOD CANCER J,11.037,2044-5385
AM J HUM GENET,11.025,0002-9297
PHYS LIFE REV,11.025,1571-0645
J STRATEGIC INF SYST,11.022,0963-8687
ADDIT MANUF,10.998,2214-8604
ARTHRITIS RHEUMATOL,10.995,2326-5191
NANOSCALE HORIZ,10.989,2055-6756
P IEEE,10.961,0018-9219
MASS SPECTROM REV,10.946,0277-7037
NUCL DATA SHEETS,10.941,0090-3752
CEMENT CONCRETE RES,10.933,0008-8846
AGEING RES REV,10.895,1568-1637
AM J GASTROENTEROL,10.864,0002-9270
GLOBAL CHANGE BIOL,10.863,1354-1013
IEEE T IMAGE PROCESS,10.856,1057-7149
CELL DISCOV,10.849,****-****
CURR BIOL,10.834,0960-9822
J ALLERGY CLIN IMMUN,10.793,0091-6749
CARDIOVASC RES,10.787,0008-6363
SIAM REV,10.78,0036-1445
ANNU REV ANAL CHEM,10.745,1936-1327
BIOENG TRANSL MED,10.711,****-****
IEEE NETWORK,10.693,0890-8044
BBA-REV CANCER,10.68,0304-419X
AGE AGEING,10.668,0002-0729
BIOSENS BIOELECTRON,10.618,0956-5663
KIDNEY INT,10.612,0085-2538
REV AQUACULT,10.592,1753-5123
J HAZARD MATER,10.588,0304-3894
KIDNEY INT SUPPL,10.545,2157-1724
J CELL BIOL,10.539,0021-9525
IEEE T AFFECT COMPUT,10.506,1949-3045
NPG ASIA MATER,10.481,1884-4049
J ADV RES,10.479,2090-1232
IEEE T NEUR NET LEAR,10.451,2162-237X
J NANOBIOTECHNOL,10.435,****-****
ANNU REV VIROL,10.431,2327-056X
ANN NEUROL,10.422,0364-5134
CANCER COMMUN,10.392,****-****
IEEE VEH TECHNOL MAG,10.384,1556-6072
CRIT REV SOLID STATE,10.367,1040-8436
NPJ REGEN MED,10.364,****-****
MOVEMENT DISORD,10.338,0885-3185
ECOL MONOGR,10.315,0012-9615
CELL SYST,10.304,2405-4712
ISME J,10.302,1751-7362
ACM COMPUT SURV,10.282,0360-0300
JAMA DERMATOL,10.282,2168-6068
J HEART LUNG TRANSPL,10.247,1053-2498
GUT MICROBES,10.245,1949-0976
IEEE T IND INFORM,10.215,1551-3203
RESOUR CONSERV RECY,10.204,0921-3449
HYPERTENSION,10.19,0194-911X
GREEN CHEM,10.182,1463-9262
REMOTE SENS ENVIRON,10.164,0034-4257
J NEUROL NEUROSUR PS,10.154,0022-3050
NEW PHYTOL,10.151,0028-646X
DIABETOLOGIA,10.122,0012-186X
J AM SOC NEPHROL,10.121,1046-6673
ENDOSCOPY,10.093,0013-726X
J MAGNES ALLOY,10.088,2213-9567
J IND INF INTEGR,10.063,2467-964X
J NUCL MED,10.057,0161-5505
IEEE T MED IMAGING,10.048,0278-0062
AM J HEMATOL,10.047,0361-8609
APPL MATER TODAY,10.041,2352-9407
CSH PERSPECT BIOL,10.005,1943-0264
WIRES RNA,9.957,1757-7004
BIOFABRICATION,9.954,1758-5082
CARDIOVASC DIABETOL,9.951,****-****
HAEMATOLOGICA,9.941,0390-6078
ADV VIRUS RES,9.937,0065-3527
ADV HEALTHC MATER,9.933,2192-2640
ADV OPT MATER,9.926,2195-1071
NEUROLOGY,9.91,0028-3878
ONCOGENE,9.867,0950-9232
CHEM SCI,9.825,2041-6520
CHEM MATER,9.811,0897-4756
PLANT BIOTECHNOL J,9.803,1467-7644
PROG NUCL MAG RES SP,9.795,0079-6565
METAB ENG,9.783,1096-7176
J CONTROL RELEASE,9.776,0168-3659
AUTOIMMUN REV,9.754,1568-9972
APPL ENERG,9.746,0306-2619
CURR OPIN BIOTECH,9.74,0958-1669
ENERG CONVERS MANAGE,9.709,0196-8904
ENVIRON INNOV SOC TR,9.68,2210-4224
J ENERGY CHEM,9.676,2095-4956
BIORESOURCE TECHNOL,9.642,0960-8524
OPTO-ELECTRON ADV,9.636,****-****
SEP PURIF REV,9.636,1542-2119
SEMIN IMMUNOPATHOL,9.623,1863-2297
ENVIRON INT,9.621,0160-4120
IEEE COMMUN MAG,9.619,0163-6804
TRENDS ENVIRON ANAL,9.6,2214-1588
ANGIOGENESIS,9.596,0969-6970
CARBON,9.594,0008-6223
ANNU REV BIOMED ENG,9.59,1523-9829
DRUGS,9.546,0012-6667
GLOBAL ENVIRON CHANG,9.523,0959-3780
DESALINATION,9.501,0011-9164
ECOL LETT,9.492,1461-023X
IEEE INTERNET THINGS,9.471,2327-4662
DIABETES,9.461,0012-1797
J CLIN ANESTH,9.452,0952-8180
SCI CHINA CHEM,9.445,1674-7291
GASTROINTEST ENDOSC,9.427,0016-5107
CELL REP,9.423,2211-1247
CHEST,9.41,0012-3692
B WORLD HEALTH ORGAN,9.408,0042-9686
PART FIBRE TOXICOL,9.4,1743-8977
ANNU REV CANCER BIOL,9.391,2472-3428
CARBOHYD POLYM,9.381,0144-8617
NPJ CLEAN WATER,9.378,2059-7037
BRIT J PSYCHIAT,9.319,0007-1250
AM J PUBLIC HEALTH,9.308,0090-0036
SCHIZOPHRENIA BULL,9.306,0586-7614
AGING CELL,9.304,1474-9718
BRIT J DERMATOL,9.302,0007-0963
MATER TODAY PHYS,9.298,2542-5293
J CLEAN PROD,9.297,0959-6526
COCHRANE DB SYST REV,9.266,1469-493X
CANCER METAST REV,9.264,0167-7659
CELL MOL LIFE SCI,9.261,1420-682X
EUR J NUCL MED MOL I,9.236,1619-7070
ACS APPL MATER INTER,9.229,1944-8244
CELL MOL GASTROENTER,9.225,2352-345X
OBES REV,9.213,1467-7881
WIRES NANOMED NANOBI,9.182,1939-5116
BRIT J ANAESTH,9.166,0007-0912
EUR J CANCER,9.162,0959-8049
PHYS REV LETT,9.161,0031-9007
FOOD HYDROCOLLOID,9.147,0268-005X
IEEE J SEL AREA COMM,9.144,0733-8716
THORAX,9.139,0040-6376
J POWER SOURCES,9.127,0378-7753
CRIT CARE,9.097,1364-8535
COMPR PHYSIOL,9.09,2040-4603
ARTIF INTELL,9.088,0004-3702
CLIN INFECT DIS,9.079,1058-4838
COMPOS PART B-ENG,9.078,1359-8368
CURR CLIM CHANGE REP,9.077,2198-6061
J CROHNS COLITIS,9.071,1873-9946
TOPICS CURR CHEM,9.06,2365-0869
GENOME RES,9.043,1088-9051
ENVIRON HEALTH PERSP,9.031,0091-6765
ENVIRON SCI TECHNOL,9.028,0013-936X
ENVIRON CHEM LETT,9.027,1610-3653
TRENDS PARASITOL,9.014,1471-4922
ADV APPL MECH,9,0065-2156
J INTERN MED,8.989,0954-6820
NEUROSCI BIOBEHAV R,8.989,0149-7634
J CHILD PSYCHOL PSYC,8.982,0021-9630
ISPRS J PHOTOGRAMM,8.979,0924-2716
IEEE T SMART GRID,8.96,1949-3053
BRAIN STIMUL,8.955,1935-861X
ACTA BIOMATER,8.947,1742-7061
PSYCHOL REV,8.934,0033-295X
ANNU REV GENOM HUM G,8.929,1527-8204
CHEMSUSCHEM,8.928,1864-5631
ANNU REV ANIM BIOSCI,8.923,2165-8102
NANO RES,8.897,1998-0124
MOL THER-NUCL ACIDS,8.886,2162-2531
J ALLER CL IMM-PRACT,8.861,2213-2198
AM J KIDNEY DIS,8.86,0272-6386
INT J ENG SCI,8.843,0020-7225
EUR RESPIR REV,8.839,0905-9180
PHYSIOLOGY,8.831,1548-9213
J AM ACAD CHILD PSY,8.829,0890-8567
CURR OPIN CHEM BIOL,8.822,1367-5931
GENET MED,8.822,1098-3600
EMBO REP,8.807,1469-221X
CIRC-HEART FAIL,8.79,1941-3289
BMC MED,8.775,1741-7015
B AM METEOROL SOC,8.766,0003-0007
J MEMBRANE SCI,8.742,0376-7388
BRIT J PHARMACOL,8.739,0007-1188
J CLIN PERIODONTOL,8.728,0303-6979
EXP MOL MED,8.718,1226-3613
AM STAT,8.71,0003-1305
INT J INTELL SYST,8.709,0884-8173
ADV NUTR,8.701,2161-8313
METABOLISM,8.694,0026-0495
CANCER LETT,8.679,0304-3835
CLIN REV ALLERG IMMU,8.667,1080-0549
AM J OBSTET GYNECOL,8.661,0002-9378
PROG AEROSP SCI,8.653,0376-0421
NPJ PARKINSONS DIS,8.651,****-****
JACC-BASIC TRANSL SC,8.648,2452-302X
J MANUF SYST,8.633,0278-6125
NPJ CLIM ATMOS SCI,8.624,2397-3722
NPJ GENOM MED,8.617,****-****
FRONT NEUROENDOCRIN,8.606,0091-3022
BIOSCIENCE,8.589,0006-3568
SOL RRL,8.582,2367-198X
INT J PROD RES,8.568,0020-7543
J INVEST DERMATOL,8.551,0022-202X
MED IMAGE ANAL,8.545,1361-8415
COMPUT EDUC,8.538,0360-1315
COMPOS SCI TECHNOL,8.528,0266-3538
NANO CONVERG,8.526,2196-5404
J TRAVEL MED,8.49,1195-1982
NEUROL-NEUROIMMUNOL,8.485,2332-7812
PHOTOACOUSTICS,8.484,2213-5979
JAMA NETW OPEN,8.483,2574-3805
CELL DEATH DIS,8.469,2041-4889
NANOPHOTONICS-BERLIN,8.449,2192-8606
CRIT REV BIOTECHNOL,8.429,0738-8551
J BIOMED SCI,8.41,1021-7770
ANTIOXID REDOX SIGN,8.401,1523-0864
ENG APPL COMP FLUID,8.391,1994-2060
CURR OPIN CELL BIOL,8.382,0955-0674
PLANT PHYSIOL,8.34,0032-0889
CLIN CHEM,8.327,0009-9147
J NEUROINFLAMM,8.322,****-****
J CLIN IMMUNOL,8.317,0271-9142
JCI INSIGHT,8.315,****-****
ACS MATER LETT,8.312,****-****
ARTERIOSCL THROM VAS,8.311,1079-5642
MATER TODAY CHEM,8.301,2468-5194
SCI CHINA MATER,8.273,2095-8226
CHINESE J CATAL,8.271,0253-9837
CAN MED ASSOC J,8.262,0820-3946
NPJ PRECIS ONCOL,8.254,****-****
BLOOD REV,8.25,0268-960X
CRIT REV BIOCHEM MOL,8.25,1040-9238
CLIN J AM SOC NEPHRO,8.237,1555-9041
IEEE T IND ELECTRON,8.236,0278-0046
IEEE GEOSC REM SEN M,8.225,2473-2397
IEEE T SERV COMPUT,8.216,1939-1374
GREEN ENERGY ENVIRON,8.207,2096-2797
ACTA MATER,8.203,1359-6454
ACS SUSTAIN CHEM ENG,8.198,2168-0485
PROG CARDIOVASC DIS,8.194,0033-0620
SCI SIGNAL,8.192,1945-0877
ALIMENT PHARM THER,8.171,0269-2813
THER ADV MED ONCOL,8.168,1758-8340
EBIOMEDICINE,8.143,2352-3964
EVID-BASED MENT HEAL,8.141,1362-0347
ELIFE,8.14,2050-084X
ARTIF INTELL REV,8.139,0269-2821
ASTROPHYS J SUPPL S,8.136,0067-0049
LANCET RHEUMATOL,8.136,2665-9913
ENVIRON SCI-NANO,8.131,2051-8153
J COLLOID INTERF SCI,8.128,0021-9797
CELL CHEM BIOL,8.116,2451-9448
ONCOIMMUNOLOGY,8.11,2162-402X
MATER TODAY NANO,8.109,2588-8420
CONSERV LETT,8.105,1755-263X
VIRTUAL PHYS PROTOTY,8.092,1745-2759
NEUROPATH APPL NEURO,8.09,0305-1846
SCI TECHNOL ADV MAT,8.09,1468-6996
TRANSPORT RES C-EMER,8.089,0968-090X
AM J TRANSPLANT,8.086,1600-6135
EUR J EPIDEMIOL,8.082,0393-2990
ENVIRON POLLUT,8.071,0269-7491
SOFT ROBOT,8.071,2169-5172
CLIN MICROBIOL INFEC,8.067,1198-743X
J MATER SCI TECHNOL,8.067,1005-0302
NEURAL NETWORKS,8.05,0893-6080
REV ENVIRON SCI BIO,8.044,1569-1705
KNOWL-BASED SYST,8.038,0950-7051
PLOS BIOL,8.029,1544-9173
SPACE SCI REV,8.017,0038-6308
TRANSL NEURODEGENER,8.014,2047-9158
RENEW ENERG,8.001,0960-1481
ESSAYS BIOCHEM,8,0071-1365
FOUND TRENDS INF RET,8,1554-0669
OCEANOGR MAR BIOL,8,0078-3218
PROG CRYST GROWTH CH,8,0960-8974
J PATHOL,7.996,0022-3417
MATER DESIGN,7.991,0264-1275
VIRUS EVOL,7.989,****-****
ENG COMPUT-GERMANY,7.963,0177-0667
SCI TOTAL ENVIRON,7.963,0048-9697
PROG PHOTOVOLTAICS,7.953,1062-7995
CURR OPIN MICROBIOL,7.934,1369-5274
J CATAL,7.92,0021-9517
IEEE T SUSTAIN ENERG,7.917,1949-3029
STROKE,7.914,0039-2499
ANESTHESIOLOGY,7.892,0003-3022
INT J PROD ECON,7.885,0925-5273
INT J MACH TOOL MANU,7.88,0890-6955
LIMNOL OCEANOGR LETT,7.875,****-****
COMPUT SCI REV,7.872,1574-0137
MBIO,7.867,2150-7511
NEUROPSYCHOPHARMACOL,7.853,0893-133X
DRUG DISCOV TODAY,7.851,1359-6446
ADV MATER TECHNOL-US,7.848,2365-709X
NANOTECHNOL REV,7.848,2191-9089
MODERN PATHOL,7.842,0893-3952
J MANAGE INFORM SYST,7.838,0742-1222
CURR OPIN PLANT BIOL,7.834,1369-5266
J TISSUE ENG,7.813,2041-7314
