"issn","jfull","jabbr","impact"
"0301-1860","Acta chirurgica Scandinavica. Supplementum","Acta Chir Scand Suppl",NA
"0001-5504","Acta cientifica venezolana","Acta Cient Venez",NA
"1784-3286","Acta clinica Belgica","Acta Clin Belg",1.264
"2295-3337","Acta clinica Belgica","Acta Clin Belg",NA
"0567-7386","Acta clinica Belgica. Supplementum","Acta Clin Belg Suppl",NA
"0120-9906","Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]","Acta Clin Odontol",NA
"0365-110X","Acta crystallographica","Acta Crystallogr",NA
"0567-7394","Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography","Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr",NA
"0001-5547","Acta cytologica","Acta Cytol",2.319
"1938-2650","Acta cytologica","Acta Cytol",NA
"0391-9706","Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")","Acta Embryol Morphol Exp (Halocynthia Assoc)",NA
"0376-0189","Acta dermatologica-Kyoto. English edition","Acta Dermatol Kyoto Engl Ed",NA
"0001-5555","Acta dermato-venereologica","Acta Derm Venereol",4.437
"1651-2057","Acta dermato-venereologica","Acta Derm Venereol",NA
"0365-8341","Acta dermato-venereologica. Supplementum","Acta Derm Venereol Suppl (Stockh)",NA
"0065-1176","Hifuka kiyo. Acta dermatologica","Hifuka Kiyo",NA
"0001-5563","Acta diabetologica latina","Acta Diabetol Lat",NA
"0065-1184","Acta embryologiae experimentalis","Acta Embryol Exp (Palermo)",NA
"0567-7416","Acta embryologiae et morphologiae experimentalis","Acta Embryol Morphol Exp",NA
"0001-5598","Acta endocrinologica","Acta Endocrinol (Copenh)",NA
"0300-9750","Acta endocrinologica. Supplementum","Acta Endocrinol Suppl (Copenh)",NA
"0587-2421","Acta Europaea fertilitatis","Acta Eur Fertil",NA
"1784-3227","Acta gastro-enterologica Belgica","Acta Gastroenterol Belg",1.316
"0300-9033","Acta gastroenterologica Latinoamericana","Acta Gastroenterol Latinoam",NA
"2469-1119","Acta gastroenterologica Latinoamericana","Acta Gastroenterol Latinoam",NA
"0567-7440","Acta genetica et statistica medica","Acta Genet Stat Med",NA
"0001-5660","Acta geneticae medicae et gemellologiae","Acta Genet Med Gemellol (Roma)",NA
"0001-5741","Acta gerontologica","Acta Gerontol (Milano)",NA
"0001-5776","Acta ginecologica","Acta Ginecol (Madr)",NA
"0001-5784","Acta gynaecologica et obstetrica Hispano-Lusitana","Acta Gynaecol Obstet Hisp Lusit",NA
"0001-5792","Acta haematologica","Acta Haematol",2.195
"1421-9662","Acta haematologica","Acta Haematol",NA
"0001-5806","Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society","Nihon Ketsueki Gakkai Zasshi",NA
"0001-5814","Acta haematologica Polonica","Acta Haematol Pol",NA
"2300-7117","Acta haematologica Polonica","Acta Haematol Pol",NA
"0300-970X","Acta hepato-gastroenterologica","Acta Hepatogastroenterol (Stuttg)",NA
"0065-1311","Acta historica scientiarum naturalium et medicinalium","Acta Hist Sci Nat Med",NA
"0065-1281","Acta histochemica","Acta Histochem",2.479
"1618-0372","Acta histochemica","Acta Histochem",NA
"0001-589X","Acta iberica radiologica-cancerologica","Acta Iber Radiol Cancerol",NA
"0001-5911","Acta isotopica","Acta Isot (Padova)",NA
"0065-1362","Acta Leidensia","Acta Leiden",NA
"0076-597X","Igaku kenkyu. Acta medica","Igaku Kenkyu",NA
"0001-5989","Acta medica Academiae Scientiarum Hungaricae","Acta Med Acad Sci Hung",NA
"0303-8173","Acta medica Austriaca","Acta Med Austriaca",NA
"1563-2571","Acta medica Austriaca","Acta Med Austriaca",NA
"0303-8181","Acta medica Austriaca. Supplement","Acta Med Austriaca Suppl",NA
"0254-0819","Acute care","Acute Care",NA
"0567-7734","Acta medica et biologica","Acta Med Biol (Niigata)",NA
"0831-7445","Perspectives (Gerontological Nursing Association (Canada))","Perspectives",NA
"0001-6039","Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia","Acta Med Ital Med Trop Subtrop Gastroenterol",NA
"0375-8338","Acta medica Iugoslavica","Acta Med Iugosl",NA
"0065-1397","Acta medicinae legalis et socialis","Acta Med Leg Soc (Liege)",NA
"0001-6055","Acta medica Nagasakiensia","Acta Med Nagasaki",NA
"0270-2304","Family practice research journal","Fam Pract Res J",NA
"0257-2788","Fetal therapy","Fetal Ther",NA
"0951-3590","Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology","Gynecol Endocrinol",2.26
"1473-0766","Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology","Gynecol Endocrinol",NA
"0736-5748","International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience","Int J Dev Neurosci",2.457
"1873-474X","International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience","Int J Dev Neurosci",NA
"0893-8652","The Journal of the American Board of Family Practice","J Am Board Fam Pract",NA
"1544-8770","The Journal of the American Board of Family Practice","J Am Board Fam Pract",NA
"0393-974X","Journal of biological regulators and homeostatic agents","J Biol Regul Homeost Agents",1.711
"1724-6083","Journal of biological regulators and homeostatic agents","J Biol Regul Homeost Agents",NA
"0884-3996","Journal of bioluminescence and chemiluminescence","J Biolumin Chemilumin",NA
"0386-300X","Acta medica Okayama","Acta Med Okayama",0.892
"0884-0431","Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research","J Bone Miner Res",6.741
"1523-4681","Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research","J Bone Miner Res",NA
"0001-6071","Acta medica Philippina","Acta Med Philipp",NA
"2094-9278","Acta medica Philippina","Acta Med Philipp",NA
"0001-608X","Acta medica Polona","Acta Med Pol",NA
"0870-399X","Acta medica portuguesa","Acta Med Port",NA
"1646-0758","Acta medica portuguesa","Acta Med Port",1.141
"0001-6101","Acta medica Scandinavica","Acta Med Scand",NA
"0365-463X","Acta medica Scandinavica. Supplementum","Acta Med Scand Suppl",NA
"0001-6136","Acta medica veterinaria","Acta Med Vet (Napoli)",NA
"0001-6187","Acta microbiologica Academiae Scientiarum Hungaricae","Acta Microbiol Acad Sci Hung",NA
"0204-8809","Acta microbiologica Bulgarica","Acta Microbiol Bulg",NA
"2603-3755","Acta microbiologica Bulgarica","Acta Microbiol Bulg",NA
"0137-1320","Acta microbiologica Polonica","Acta Microbiol Pol",NA
"0567-7815","Acta microbiologica Polonica. Series A: Microbiologia generalis","Acta Microbiol Pol A",NA
"0567-7823","Acta microbiologica Polonica. Series B: Microbiologia applicata","Acta Microbiol Pol B",NA
"0001-6217","Acta morphologica Academiae Scientiarum Hungaricae","Acta Morphol Acad Sci Hung",NA
"0324-0452","Acta microbiologica, virologica et immunologica","Acta Microbiol Virol Immunol (Sofiia)",NA
"0236-5391","Acta morphologica Hungarica","Acta Morphol Hung",NA
"0001-6225","Acta morphologica Neerlando-Scandinavica","Acta Morphol Neerl Scand",NA
"0065-1400","Acta neurobiologiae experimentalis","Acta Neurobiol Exp (Wars)",1.579
"1689-0035","Acta neurobiologiae experimentalis","Acta Neurobiol Exp (Wars)",NA
"0001-6268","Acta neurochirurgica","Acta Neurochir (Wien)",2.216
"0942-0940","Acta neurochirurgica","Acta Neurochir (Wien)",NA
"0001-6276","Acta neurologica","Acta Neurol (Napoli)",NA
"0250-4642","Acta rhumatologica","Acta Rhumatol",NA
"0001-5938","Acta leprologica","Acta Leprol",NA
"0231-4622","Acta microbiologica Hungarica","Acta Microbiol Hung",NA
"0300-9009","Acta neurologica Belgica","Acta Neurol Belg",2.396
"2240-2993","Acta neurologica Belgica","Acta Neurol Belg",NA
"0001-6306","Acta neurologica latinoamericana","Acta Neurol Latinoam",NA
"0515-2976","Acta neurologica. Quaderni","Acta Neurol Quad (Napoli)",NA
"0001-6314","Acta neurologica Scandinavica","Acta Neurol Scand",3.209
"1600-0404","Acta neurologica Scandinavica","Acta Neurol Scand",NA
"0065-1427","Acta neurologica Scandinavica. Supplementum","Acta Neurol Scand Suppl",NA
"1600-5449","Acta neurologica Scandinavica. Supplementum","Acta Neurol Scand Suppl",NA
"0001-6322","Acta neuropathologica","Acta Neuropathol",17.088
"1432-0533","Acta neuropathologica","Acta Neuropathol",NA
"0065-1435","Acta neuropathologica. Supplementum","Acta Neuropathol Suppl",NA
"0375-9245","Acta neurovegetativa","Acta Neuroveg (Wien)",NA
"0210-9832","Acta obstetrica y ginecologica hispano-lusitana","Acta Obstet Ginecol Hisp Lusit",NA
"0300-8940","Acta obstetrica y ginecologica hispano-lusitana. Suplemento","Acta Obstet Ginecol Hisp Lusit Suppl",NA
"0001-6330","Acta obstetrica et gynaecologica Japonica","Acta Obstet Gynaecol Jpn",NA
"0001-6349","Acta obstetricia et gynecologica Scandinavica","Acta Obstet Gynecol Scand",3.636
"1600-0412","Acta obstetricia et gynecologica Scandinavica","Acta Obstet Gynecol Scand",NA
"0300-8835","Acta obstetricia et gynecologica Scandinavica. Supplement","Acta Obstet Gynecol Scand Suppl",NA
"0001-6357","Acta odontologica Scandinavica","Acta Odontol Scand",2.331
"1502-3850","Acta odontologica Scandinavica","Acta Odontol Scand",NA
"0365-530X","Acta odontologica Scandinavica. Supplementum","Acta Odontol Scand Suppl",NA
"0001-6365","Acta odontologica venezolana","Acta Odontol Venez",NA
"0001-6381","Acta oncologica","Acta Oncol (Madr)",NA
"0001-639X","Acta ophthalmologica","Acta Ophthalmol (Copenh)",NA
"0065-1451","Acta ophthalmologica. Supplementum","Acta Ophthalmol Suppl",NA
"0001-6462","Acta orthopaedica Belgica","Acta Orthop Belg",0.5
"0001-6470","Acta orthopaedica Scandinavica","Acta Orthop Scand",NA
"0300-8827","Acta orthopaedica Scandinavica. Supplementum","Acta Orthop Scand Suppl",NA
"0001-6489","Acta oto-laryngologica","Acta Otolaryngol",1.494
"1651-2251","Acta oto-laryngologica","Acta Otolaryngol",NA
"0365-5237","Acta oto-laryngologica. Supplementum","Acta Otolaryngol Suppl",NA
"0001-6497","Acta oto-rhino-laryngologica Belgica","Acta Otorhinolaryngol Belg",NA
"0392-100X","Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale","Acta Otorhinolaryngol Ital",2.124
"1827-675X","Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale","Acta Otorhinolaryngol Ital",NA
"0001-6500","Acta oto-rino-laringologica ibero-americana","Acta Otorinolaryngol Iber Am",NA
"0001-6527","Acta paediatrica Academiae Scientiarum Hungaricae","Acta Paediatr Acad Sci Hung",NA
"0001-6535","Acta paediatrica Belgica","Acta Paediatr Belg",NA
"0001-6543","Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica","Nihon Shonika Gakkai Zasshi",NA
"0374-5600","Acta paediatrica Japonica : Overseas edition","Acta Paediatr Jpn",NA
"0001-656X","Acta paediatrica Scandinavica","Acta Paediatr Scand",NA
"0300-8843","Acta paediatrica Scandinavica. Supplement","Acta Paediatr Scand Suppl",NA
"0001-6578","Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui","Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi",NA
"0001-6586","Acta paedopsychiatrica","Acta Paedopsychiatr",NA
"0080-9012","Series paedopsychiatrica","Ser Paedopsychiatr",NA
"0001-6632","Acta pathologica japonica","Acta Pathol Jpn",NA
"0365-5555","Acta pathologica et microbiologica Scandinavica","Acta Pathol Microbiol Scand",NA
"0365-4184","Acta pathologica et microbiologica Scandinavica. Section A, Pathology","Acta Pathol Microbiol Scand A",NA
"0105-0656","Acta pathologica et microbiologica Scandinavica. Section B, Microbiology","Acta Pathol Microbiol Scand B",NA
"0304-1328","Acta pathologica et microbiologica Scandinavica. Section C, Immunology","Acta Pathol Microbiol Scand C",NA
"0108-0172","Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement","Acta Pathol Microbiol Immunol Scand Suppl",NA
"0001-6640","Acta pediatrica espanola","Acta Pediatr Esp",NA
"2014-2986","Acta pediatrica espanola","Acta Pediatr Esp",NA
"0108-0164","Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology","Acta Pathol Microbiol Immunol Scand A",NA
"0108-0180","Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology","Acta Pathol Microbiol Immunol Scand B",NA
"0108-0202","Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology","Acta Pathol Microbiol Immunol Scand C",NA
"0001-6659","Acta pharmaceutica Hungarica","Acta Pharm Hung",NA
"0253-9756","Zhongguo yao li xue bao = Acta pharmacologica Sinica","Zhongguo Yao Li Xue Bao",NA
"0513-4870","Yao xue xue bao = Acta pharmaceutica Sinica","Yao Xue Xue Bao",NA
"0001-6675","Acta pharmaceutica Suecica","Acta Pharm Suec",NA
"0001-6683","Acta pharmacologica et toxicologica","Acta Pharmacol Toxicol (Copenh)",NA
"0001-6756","Acta physiologica Academiae Scientiarum Hungaricae","Acta Physiol Acad Sci Hung",NA
"0231-424X","Acta physiologica Hungarica","Acta Physiol Hung",NA
"1588-2683","Acta physiologica Hungarica","Acta Physiol Hung",NA
"0001-6764","Acta physiologica latino americana","Acta Physiol Lat Am",NA
"0323-9950","Acta physiologica et pharmacologica Bulgarica","Acta Physiol Pharmacol Bulg",NA
"0326-6656","Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia","Acta Physiol Pharmacol Latinoam",NA
"0001-6748","Acta physiologica et pharmacologica Neerlandica","Acta Physiol Pharmacol Neerl",NA
"0044-6033","Acta physiologica Polonica","Acta Physiol Pol",NA
"0001-6772","Acta physiologica Scandinavica","Acta Physiol Scand",NA
"1365-201X","Acta physiologica Scandinavica","Acta Physiol Scand",NA
"0302-2994","Acta physiologica Scandinavica. Supplementum","Acta Physiol Scand Suppl",NA
"0001-6837","Acta poloniae pharmaceutica","Acta Pol Pharm",0.33
"0001-6896","Acta psiquiatrica y psicologica de America latina","Acta Psiquiatr Psicol Am Lat",NA
"0300-8967","Acta psychiatrica Belgica","Acta Psychiatr Belg",NA
"0001-690X","Acta psychiatrica Scandinavica","Acta Psychiatr Scand",6.392
"1600-0447","Acta psychiatrica Scandinavica","Acta Psychiatr Scand",NA
"0065-1591","Acta psychiatrica Scandinavica. Supplementum","Acta Psychiatr Scand Suppl",NA
"1600-5473","Acta psychiatrica Scandinavica. Supplementum","Acta Psychiatr Scand Suppl",NA
"0001-6918","Acta psychologica","Acta Psychol (Amst)",NA
"1873-6297","Acta psychologica","Acta Psychol (Amst)",NA
"0378-9497","Acta rhumatologica Belgica","Acta Rhumatol Belg",NA
"0567-8056","Acta radiologica: diagnosis","Acta Radiol Diagn (Stockh)",NA
"0365-5954","Acta radiologica. Supplementum","Acta Radiol Suppl",NA
"0567-8064","Acta radiologica: therapy, physics, biology","Acta Radiol Ther Phys Biol",NA
"0348-5196","Acta radiologica: oncology, radiation, physics, biology","Acta Radiol Oncol Radiat Phys Biol",NA
"0349-652X","Acta radiologica. Oncology","Acta Radiol Oncol",NA
"0044-6025","Acta medica Iranica","Acta Med Iran",NA
"1735-9694","Acta medica Iranica","Acta Med Iran",NA
"0001-6934","Acta rheumatologica Scandinavica","Acta Rheumatol Scand",NA
"0001-6950","Acta Scholae Medicinalis Universitatis in Kioto","Acta Sch Med Univ Kioto",NA
"0001-6985","Acta Societatis Medicorum Upsaliensis","Acta Soc Med Ups",NA
"0255-4410","Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale","Acta Stomatol Int",NA
"0029-0203","Nippon Ganka Gakkai zasshi","Nippon Ganka Gakkai Zasshi",NA
"0044-6041","Acta socio-medica Scandinavica","Acta Sociomed Scand",NA
"0001-7000","Acta stomatologica Belgica","Acta Stomatol Belg",NA
"0001-7019","Acta stomatologica Croatica","Acta Stomatol Croat",NA
"1846-0410","Acta stomatologica Croatica","Acta Stomatol Croat",NA
"0001-7051","Acta theriologica","Acta Theriol (Warsz)",NA
"2190-3743","Acta theriologica","Acta Theriol (Warsz)",NA
"0001-706X","Acta tropica","Acta Trop",3.112
"1873-6254","Acta tropica","Acta Trop",NA
"0365-1541","Acta tropica. Supplementum","Acta Trop Suppl",NA
"0001-7078","Acta tuberculosea et pneumologica Belgica","Acta Tuberc Pneumol Belg",NA
"0567-8161","Acta tuberculosea Japonica","Acta Tuberc Jpn",NA
"0365-7531","Acta tuberculosea et pneumologica Scandinavica","Acta Tuberc Pneumol Scand",NA
"0001-7116","Acta Universitatis Carolinae. Medica","Acta Univ Carol Med (Praha)",NA
"0567-8250","Acta Universitatis Carolinae. Medica. Monographia","Acta Univ Carol Med Monogr",NA
"0001-7183","Acta urologica Belgica","Acta Urol Belg",NA
"0018-1994","Hinyokika kiyo. Acta urologica Japonica","Hinyokika Kiyo",NA
"0001-7205","Acta veterinaria Academiae Scientiarum Hungaricae","Acta Vet Acad Sci Hung",NA
"0236-6290","Acta veterinaria Hungarica","Acta Vet Hung",0.955
"0044-605X","Acta veterinaria Scandinavica","Acta Vet Scand",1.695
"1751-0147","Acta veterinaria Scandinavica","Acta Vet Scand",NA
"0065-1699","Acta veterinaria Scandinavica. Supplementum","Acta Vet Scand Suppl",NA
"0001-723X","Acta virologica","Acta Virol",1.162
"1336-2305","Acta virologica","Acta Virol",NA
"0300-8924","Acta vitaminologica et enzymologica","Acta Vitaminol Enzymol",NA
"0001-7280","Acta zoologica et pathologica Antverpiensia","Acta Zool Pathol Antverp",NA
"0331-0175","The African journal of psychiatry","Afr J Psychiatry",NA
"0001-7310","Actas dermo-sifiliograficas","Actas Dermosifiliogr",NA
"1578-2190","Actas dermo-sifiliograficas","Actas Dermosifiliogr",NA
"0210-4806","Actas urologicas espanolas","Actas Urol Esp",0.994
"1699-7980","Actas urologicas espanolas","Actas Urol Esp",NA
"0301-2514","Acta Universitatis Palackianae Olomucensis Facultatis Medicae","Acta Univ Palacki Olomuc Fac Med",NA
"0300-5062","Actas luso-espanolas de neurologia, psiquiatria y ciencias afines","Actas Luso Esp Neurol Psiquiatr Cienc Afines",NA
"0001-7329","Actas luso-espanolas de neurologia y psiquiatria","Actas Luso Esp Neurol Psiquiatr",NA
"0365-1045","Actualites cardiologiques et angeiologiques internationales","Actual Cardiol Angeiol Int (Paris)",NA
"0065-1826","Actualites endocrinologiques","Actual Endocrinol (Paris)",NA
"0240-8007","Actualites hepato-gastro-enterologiques","Actual Hepatogastroenterol (Paris)",NA
"0567-882X","Actualites neurophysiologiques","Actual Neurophysiol (Paris)",NA
"0001-7817","Actualites odonto-stomatologiques","Actual Odontostomatol (Paris)",NA
"1760-611X","Actualites odonto-stomatologiques","Actual Odontostomatol (Paris)",NA
"0001-7671","Actualidad pediatrica; revista de bibliografia internacional","Actual Pediatr (Granada)",NA
"0567-8854","Actualites pharmacologiques","Actual Pharmacol (Paris)",NA
"0360-1293","Acupuncture & electro-therapeutics research","Acupunct Electrother Res",0.143
"0567-8714","Actualites de physiologie pathologique","Actual Physiol Pathol (Paris)",NA
"0306-4603","Addictive behaviors","Addict Behav",3.913
"1873-6327","Addictive behaviors","Addict Behav",NA
"0147-3956","Advance data","Adv Data",NA
"1933-3889","Advance data","Adv Data",NA
"0364-3107","Administration in social work","Adm Soc Work",NA
"1544-4376","Administration in social work","Adm Soc Work",NA
"0094-0267","Addictive diseases","Addict Dis",NA
"0001-8392","Administrative science quarterly","Adm Sci Q",NA
"0001-8449","Adolescence","Adolescence",NA
"0001-8481","Adult education","Adult Educ",NA
"0301-5556","Advances in anatomy, embryology, and cell biology","Adv Anat Embryol Cell Biol",1.231
"0065-2164","Advances in applied microbiology","Adv Appl Microbiol",5.086
"0090-1180","Administration in mental health","Adm Ment Health",NA
"0065-2229","Advances in biochemical psychopharmacology","Adv Biochem Psychopharmacol",NA
"0065-2245","Advances in biological and medical physics","Adv Biol Med Phys",NA
"0148-2165","Lifelong learning, the adult years","Lifelong Learn Adult Years",NA
"0724-6145","Advances in biochemical engineering/biotechnology","Adv Biochem Eng Biotechnol",2.635
"1616-8542","Advances in biochemical engineering/biotechnology","Adv Biochem Eng Biotechnol",NA
"0065-2253","Advances in biology of skin","Adv Biol Skin",NA
"0065-2261","Advances in biomedical engineering and medical physics","Adv Biomed Eng Med Phys",NA
"0065-227X","Advances in biophysics","Adv Biophys",NA
"1873-4618","Advances in biophysics","Adv Biophys",NA
"0065-230X","Advances in cancer research","Adv Cancer Res",6.242
"2162-5557","Advances in cancer research","Adv Cancer Res",NA
"0065-2318","Advances in carbohydrate chemistry and biochemistry","Adv Carbohydr Chem Biochem",12.2
"2162-5530","Advances in carbohydrate chemistry and biochemistry","Adv Carbohydr Chem Biochem",NA
"0065-2326","Advances in cardiology","Adv Cardiol",NA
"1662-2839","Advances in cardiology","Adv Cardiol",NA
"0065-2334","Advances in cardiopulmonary diseases","Adv Cardiopulm Dis",NA
"0065-2369","Advances in cell biology","Adv Cell Biol",NA
"0567-9877","Advances in chemotherapy","Adv Chemother",NA
"0065-2407","Advances in child development and behavior","Adv Child Dev Behav",NA
"0267-4874","Advances in contraception : the official journal of the Society for the Advancement of Contraception","Adv Contracept",NA
"0065-2415","Advances in chromatography","Adv Chromatogr",NA
"0065-2423","Advances in clinical chemistry","Adv Clin Chem",5.394
"2162-9471","Advances in clinical chemistry","Adv Clin Chem",NA
"0303-2671","Advances in clinical pharmacology","Adv Clin Pharmacol",NA
"0065-244X","Advances in comparative physiology and biochemistry","Adv Comp Physiol Biochem",NA
"0747-7767","Advances in cyclic nucleotide and protein phosphorylation research","Adv Cyclic Nucleotide Protein Phosphorylation Res",NA
"0084-5930","Advances in cyclic nucleotide research","Adv Cyclic Nucleotide Res",NA
"0084-5949","Advances in cytopharmacology","Adv Cytopharmacol",NA
"0065-2490","Advances in drug research","Adv Drug Res",NA
"0065-2571","Advances in enzyme regulation","Adv Enzyme Regul",NA
"1873-2437","Advances in enzyme regulation","Adv Enzyme Regul",NA
"0065-258X","Advances in enzymology and related areas of molecular biology","Adv Enzymol Relat Areas Mol Biol",NA
"1934-4694","Advances in enzymology and related areas of molecular biology","Adv Enzymol Relat Areas Mol Biol",NA
"0065-2598","Advances in experimental medicine and biology","Adv Exp Med Biol",2.622
"2214-8019","Advances in experimental medicine and biology","Adv Exp Med Biol",NA
"0567-994X","Advances in fluorine research and dental caries prevention","Adv Fluorine Res",NA
"0731-2199","Advances in health economics and health services research","Adv Health Econ Health Serv Res",NA
"0044-6173","Aktuelle Traumatologie","Aktuelle Traumatol",NA
"0065-2628","Advances in food research","Adv Food Res",NA
"0178-2134","Advances in immunity and cancer therapy","Adv Immun Cancer Ther",NA
"0065-2660","Advances in genetics","Adv Genet",1.944
"0065-2709","Advances in gerontological research","Adv Gerontol Res",NA
"0149-9483","Advances in nutritional research","Adv Nutr Res",NA
"0065-2725","Advances in heterocyclic chemistry","Adv Heterocycl Chem",3.552
"1557-8429","Advances in heterocyclic chemistry","Adv Heterocycl Chem",NA
"0065-275X","Advances in human genetics","Adv Hum Genet",NA
"0065-2776","Advances in immunology","Adv Immunol",3.543
"1557-8445","Advances in immunology","Adv Immunol",NA
"0190-0218","Advances in inorganic biochemistry","Adv Inorg Biochem",NA
"0065-2822","Advances in internal medicine","Adv Intern Med",NA
"0065-2849","Advances in lipid research","Adv Lipid Res",NA
"0065-2903","Advances in metabolic disorders","Adv Metab Disord",NA
"0065-2911","Advances in microbial physiology","Adv Microb Physiol",3.517
"2162-5468","Advances in microbial physiology","Adv Microb Physiol",NA
"0084-5957","Advances in nephrology from the Necker Hospital","Adv Nephrol Necker Hosp",NA
"0065-2962","Advances in morphogenesis","Adv Morphog",NA
"0091-3952","Advances in neurology","Adv Neurol",NA
